drug	V1	V2	V3	V4	V5	V6	V7	V8
brompheniramine_maleate	-25.3205513518	-3.29104110961	6.97383495447	-7.50272556216	8.25437361304	4.6465062624	9.87246608595	-5.0141305822
amlodipine_besylate_olmesartan_medoxomil	-21.5078335184	10.894198023	-2.29555909391	-6.16590372946	-2.61691412613	-5.684707101	-5.53174208507	-0.071070528481
vilazodone_hydrochloride	-9.0373726213	4.43523772882	0.758883290135	12.8884802173	4.20924993713	-2.35378492322	-2.79269494051	3.81799861586
fludrocortisone_acetate	1.01248700028	0.250349693541	-4.96027002749	4.6660063793	3.23424215574	-2.97558080149	-0.951114595693	-1.32158137414
atropine_sulfate	8.29945669942	2.71004448245	-2.23472756206	-1.22536672436	-0.665072497855	-1.9048480096	-3.7463697703	-5.38002094851
bisoprolol_fumarate	-6.80977213912	2.4135319044	0.275076132814	1.36118998208	2.42510260396	-0.251314308135	-0.176706140853	0.21028372414
cefditoren_pivoxil	-16.7526370912	3.70230127058	1.56669596663	1.07889072061	1.485607279	-1.20709517068	2.35507275649	1.18024233914
hydrocod_bit_phenyleph_hcl_pyril_mal	-8.49313518479	-10.6276403753	-2.52365096057	4.94411417818	5.97110597394	5.68746883119	-3.9487225714	-1.27957512388
clocortolone_pivalate	-4.88383889779	21.3132100093	2.83787020349	-6.82328688833	-3.18338853222	-0.324415696402	-5.46461578843	-3.91461748621
gg_hydrocod_bit_phenyleph_hcl	-16.1421033375	1.25683021209	7.20411278162	-2.93825704697	2.32642082992	4.80258819984	-0.13641158472	1.980905825
aspirin_dipyridamole	-3.85597293785	-0.867912217429	-3.5373401594	-1.67583391135	-0.370081370765	-5.31633820623	-1.94237534758	-1.33350777825
follitropin_beta	16.5447865704	17.2829222501	-10.453085697	-0.526960581751	-3.65662332519	8.33323138117	-3.55780713798	-5.58102781899
cilostazol	-7.95278770033	-1.55882037174	-10.1251702693	0.212828406181	0.742552881318	-4.45392993792	0.55664054563	-4.49970036548
chloroxylenol_hc_pramoxine_hcl	-24.7230798711	-3.41365512923	8.88530575488	-0.553905434685	-6.80162283317	1.97208042653	1.29093531032	-2.40770146105
cpm_dm_hydrobrom_pse_hcl	-20.7544161134	-2.26012964743	9.51084241482	-1.39319129671	7.2116485518	2.36928504397	9.66143445652	-3.61728141576
carbetapentane_tannate_chlorpheniramine_tann	-5.14784843307	8.05255029077	-9.55465954721	1.43705931362	-4.113203536	0.719169304141	-1.78269414687	0.140500255398
trimethoprim	-1.28240363414	-2.73375383515	0.100682319611	3.8509890347	3.71823132553	-0.0268153416985	-2.1548623263	-5.82892965938
buprenorphine_hydrochloride_naloxone_hydroch	1.16761855208	5.43054116941	-3.48487199985	7.24673676446	3.7154636253	-11.3919365425	9.41529765335	-4.03555542471
itraconazole	2.18095323737	3.30110833699	-0.630656104175	5.47757512816	-3.25523816639	2.15921761047	-7.56066488812	-4.15446055266
salsalate	4.1662149779	-10.0146775461	2.67317054983	-3.08919274761	1.00691094865	-2.97928927124	3.98621369393	-3.9069402105
insulin_aspart_insulin_aspart_protamine	-10.4355767835	-0.406883006018	-6.30547199307	-12.1638086439	0.356878580153	-6.91637374544	-3.01524743354	-2.22302590038
